kjonn;studieretning_utdanningsprogram;fullforingsgrad;foreldrenes_utdanningsniva;intervall_ar;elever;andel_elever_prosent
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;1994-1999;54356;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;1997-2002;52677;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;1998-2003;52818;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;1999-2004;51353;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2000-2005;51982;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2001-2006;52704;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2002-2007;54519;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2003-2008;56271;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2004-2009;59233;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2005-2010;61311;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2006-2011;62452;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2007-2012;62932;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2008-2013;63256;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2009-2014;62787;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2010-2015;63837;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2011-2016;64855;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2012-2017;66166;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Alle utdanningsnivå;2013-2018;65433;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;1994-1999;5012;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;1997-2002;5140;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;1998-2003;5204;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;1999-2004;5194;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2000-2005;5287;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2001-2006;5451;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2002-2007;5809;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2003-2008;5853;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2004-2009;6204;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2005-2010;6326;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2006-2011;6665;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2007-2012;6719;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2008-2013;7145;100
